round,coordinate,swept_value,new_evaluation,selected,attempt_no,drop,vmult,mkt_drop,trend_filter,tp,stop_atr,slippage,n,n_candidates,n_after_overlap,floor_margin,feasible,mean_net,median_net,std_net,se_net,win_rate,mean_r,both_touch_share,tp_boundary_share,mean_hold_bars,distinct_entry_days,max_entries_per_day,days_at_cap,n_outside_window,mean_net_outside_window,trade_hash,by_year_n,share_tp,share_tp_gap,share_stop,share_stop_gap,share_time,control_all_days,control_same_day,winner_n,winner_share_n,winner_mean_net,nonwinner_mean_net
1,tp,0.04,True,False,18,0.04,1.5,0.0,0,0.04,1.5,0.001,700,1082,902,1.8666666666666667,True,0.0016252023462784682,0.02750523569984309,0.04453845445737015,0.0016833953467625376,0.6,0.07362721653964681,0.0014285714285714286,0.0,2.664285714285714,455,5,10,649,0.002158752509822728,05f01430afc4,"{""2015"": 72, ""2016"": 127, ""2017"": 120, ""2018"": 161, ""2019"": 106, ""2020"": 111, ""2021"": 3}",0.42857142857142855,0.055714285714285716,0.18285714285714286,0.03857142857142857,0.29428571428571426,-0.0037934599262808644,-0.004787593268462247,84,0.12,0.005293165225474367,0.0011250255900244822
1,tp,0.05,True,True,19,0.04,1.5,0.0,0,0.05,1.5,0.001,680,1082,889,1.8133333333333332,True,0.002335865182471045,0.011755131163250887,0.047472468939251035,0.0018204860805274903,0.5661764705882353,0.08353820396819213,0.0014705882352941176,0.0,3.0926470588235295,448,5,8,634,0.0025971646846858704,bbf2c6fd4cc0,"{""2015"": 69, ""2016"": 125, ""2017"": 117, ""2018"": 155, ""2019"": 106, ""2020"": 105, ""2021"": 3}",0.3352941176470588,0.04264705882352941,0.18676470588235294,0.041176470588235294,0.3941176470588235,-0.003181721488513518,-0.004070136691367606,83,0.12205882352941176,0.009143940731281849,0.0013893488163884708
1,tp,0.06,True,False,20,0.04,1.5,0.0,0,0.06,1.5,0.001,664,1082,885,1.7706666666666666,True,0.0015408060593210277,0.007240627275199141,0.049858201265480934,0.0019348734561487587,0.5391566265060241,0.0717683768685204,0.0015060240963855422,0.0,3.411144578313253,441,5,9,623,0.0020389397809972586,143d790e4c3c,"{""2015"": 66, ""2016"": 123, ""2017"": 116, ""2018"": 152, ""2019"": 105, ""2020"": 99, ""2021"": 3}",0.24397590361445784,0.030120481927710843,0.19578313253012047,0.0391566265060241,0.49096385542168675,-0.0027939661441059235,-0.0035417105505511064,79,0.11897590361445783,0.007573730321973407,0.0007261034665867749
1,tp,0.08,True,False,21,0.04,1.5,0.0,0,0.08,1.5,0.001,645,1082,874,1.72,True,0.002312093727608089,0.004214418849508794,0.05410468915955159,0.002130370055218853,0.524031007751938,0.09070546178610307,0.0015503875968992248,0.0,3.7534883720930234,434,5,7,613,0.003431620528778073,987ef6b6e5aa,"{""2015"": 64, ""2016"": 122, ""2017"": 114, ""2018"": 150, ""2019"": 104, ""2020"": 88, ""2021"": 3}",0.15813953488372093,0.015503875968992248,0.2,0.04186046511627907,0.5844961240310077,-0.0021168865832335722,-0.0033073019155728583,78,0.12093023255813953,0.010779443453110974,0.0011472731304489625
1,stop_atr,0.5,True,False,22,0.04,1.5,0.0,0,0.05,0.5,0.001,864,1082,1013,2.304,True,-0.000760378887898773,-0.018172413078780147,0.033793785901594625,0.0011496879435523167,0.3611111111111111,0.12088417768024182,0.010416666666666666,0.0,1.4421296296296295,510,5,19,803,-0.0005462681878706292,07c3416a1d1d,"{""2015"": 89, ""2016"": 160, ""2017"": 143, ""2018"": 206, ""2019"": 133, ""2020"": 130, ""2021"": 3}",0.2465277777777778,0.03009259259259259,0.5682870370370371,0.047453703703703706,0.1076388888888889,-0.004317635577216735,-0.004076888977944964,96,0.1111111111111111,-0.0006814956155611259,-0.0007702392969409789
1,stop_atr,1.0,True,False,23,0.04,1.5,0.0,0,0.05,1.0,0.001,767,1082,949,2.0453333333333332,True,0.00044349462244103817,0.0011399510220349018,0.043428713168843426,0.0015681199463798221,0.5045632333767927,0.08447969751760437,0.0,0.0,2.4159061277705347,481,5,7,717,0.0004338868364511358,9c824b05f814,"{""2015"": 78, ""2016"": 142, ""2017"": 129, ""2018"": 183, ""2019"": 117, ""2020"": 115, ""2021"": 3}",0.3116036505867014,0.041720990873533245,0.35853976531942633,0.03650586701434159,0.2516297262059974,-0.003630568551213923,-0.004104495131780559,93,0.121251629726206,0.0032375305613077396,5.7967408324416165e-05
1,stop_atr,1.5,False,True,19,0.04,1.5,0.0,0,0.05,1.5,0.001,680,1082,889,1.8133333333333332,True,0.002335865182471045,0.011755131163250887,0.047472468939251035,0.0018204860805274903,0.5661764705882353,0.08353820396819213,0.0014705882352941176,0.0,3.0926470588235295,448,5,8,634,0.0025971646846858704,bbf2c6fd4cc0,"{""2015"": 69, ""2016"": 125, ""2017"": 117, ""2018"": 155, ""2019"": 106, ""2020"": 105, ""2021"": 3}",0.3352941176470588,0.04264705882352941,0.18676470588235294,0.041176470588235294,0.3941176470588235,-0.003181721488513518,-0.004070136691367606,83,0.12205882352941176,0.009143940731281849,0.0013893488163884708
1,stop_atr,2.0,True,False,24,0.04,1.5,0.0,0,0.05,2.0,0.001,641,1082,856,1.7093333333333334,True,0.0012490585514143412,0.011941700958206791,0.049971206447313773,0.001973743986879026,0.5694227769110765,0.049782968809987733,0.0015600624024961,0.0,3.433697347893916,431,5,5,600,0.0019297340721460261,464d64ca238e,"{""2015"": 65, ""2016"": 119, ""2017"": 111, ""2018"": 147, ""2019"": 101, ""2020"": 95, ""2021"": 3}",0.33541341653666146,0.0390015600624025,0.10920436817472699,0.028081123244929798,0.48829953198127923,-0.002922126727954634,-0.003998156181633531,75,0.11700468018720749,0.009432302000990541,0.00016470650420901428
1,stop_atr,3.0,True,False,25,0.04,1.5,0.0,0,0.05,3.0,0.001,602,1082,824,1.6053333333333333,True,0.0016238575145050079,0.013765281109390348,0.05368683689909389,0.0021881121189052865,0.584717607973422,0.03944059226257238,0.0,0.0,3.712624584717608,417,5,2,568,0.0035572456133009687,9a623b89cd9a,"{""2015"": 59, ""2016"": 111, ""2017"": 105, ""2018"": 143, ""2019"": 95, ""2020"": 86, ""2021"": 3}",0.33222591362126247,0.04318936877076412,0.03156146179401993,0.013289036544850499,0.579734219269103,-0.0026965568765704184,-0.004692344222778162,69,0.11461794019933555,0.01097338371533531,0.00041350609263391807
2,drop,0.03,True,False,26,0.03,1.5,0.0,0,0.05,1.5,0.001,783,1272,1047,2.088,True,0.0012220308470338595,0.009801223192111186,0.04740175706376997,0.0016940005973801258,0.5555555555555556,0.07385414446800863,0.001277139208173691,0.0,3.0932311621966795,505,5,8,737,0.0013792578161414693,8066954635bc,"{""2015"": 76, ""2016"": 146, ""2017"": 143, ""2018"": 169, ""2019"": 129, ""2020"": 116, ""2021"": 4}",0.3231162196679438,0.04342273307790549,0.1979565772669221,0.04086845466155811,0.3946360153256705,-0.003181721488513518,-0.004137485233284499,90,0.11494252873563218,0.006635311343524361,0.0005190074059311972
